City,Population,GDP(billion)
New York,18804000.00,1665.17
San Francisco,881549.00,539.14
Vancouver,2556000.00,110.00
Toronto,6139000.00,332.00
Los Angeles,3979576.00,999.98
Houston,2326000.00,458.58
San Jose,1033670.00,329.24
Hamilton,763000.00,327.86
Washington,5322000.00,543.45
Boston,4309000.00,411.56
Austin,988218.00,150.52
Odessa,119738.00,12.10
San Diego,1423851.00,239.63
San Antonio,1547253.00,135.41
Mississauga,801877.00,75.20
Ottawa,994837.00,58.20
Richmond,216288.00,54.40
Charlotte,2054000.00,166.67
Philadelphia,5715000.00,416.49
Atlanta,5803000.00,387.72
Dallas,6301000.00,516.48
Raleigh,1444000.00,82.59
Winnipeg,817000.00,45.30
Cambridge,199203.00,31.50
Seattle,3433000.00,375.76
Arlington,402762.00,543.45
Santa Ana,330389.00,49.10
Jacksonville,926371.00,81.21
Irvine,303956.00,45.20
Phoenix,4948203.00,258.13
Denver,2827000.00,213.36
Oakland,433031.00,539.14
